number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA51ML7669,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA51ML7669_1764303934259.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09Z0024,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09Z0024_1764300874550.jpg,KA09Z0024 (0.963),,passenger_not_wearing_seatbelt (0.70),Violation detected
KA02P7804,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA02P7804_1764305499964.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MC7128,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09MC7128_1764300990736.jpg,KA09MC7128 (0.974),,passenger_not_wearing_seatbelt (0.59),Violation detected
KA57F1305,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA57F1305_1764294404501.jpg,KA57F1305 (0.998),Driver_not_wearing_seatbelt (0.49),,Violation detected
KA03AD3148,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA03AD3148_1764299638898.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MB1433,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09MB1433_1764298590249.jpg,KA09MB1433 (0.993),,passenger_not_wearing_seatbelt (0.75),Violation detected
KA11N8207,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA11N8207_1764299820769.jpg,KA11N8207 (0.956),,passenger_not_wearing_seatbelt (0.76),Violation detected
KA16D9102,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA16D9102_1764293605033.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MH7746,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09MH7746_1764296340031.jpg,KA09MH7746 (0.971),,passenger_not_wearing_seatbelt (0.74),Violation detected
KA09Z7204,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09Z7204_1764299820818.jpg,NOA0927204 (0.880),Driver_not_wearing_seatbelt (0.49),passenger_not_wearing_seatbelt (0.64),Violation detected
KA05AA6758,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA05AA6758_1764325857206.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51MH0365,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51MH0365_1764384644516.jpg,KA51MHO365 (0.906),Driver_not_wearing_seatbelt (0.71),passenger_not_wearing_seatbelt (0.68),Violation detected
KA20B9483,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA20B9483_1764392848755.jpg,,,,No violation detected - all occupants wearing seatbelts
KA52N2191,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA52N2191_1764387712726.jpg,,,,No violation detected - all occupants wearing seatbelts
KA04ME6264,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04ME6264_1764402696364.jpg,,,,No violation detected - all occupants wearing seatbelts
KA13Z5517,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA13Z5517_1764391788289.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MH6988,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MH6988_1764406480298.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MP2290,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MP2290_1764393872433.jpg,KA02MP2290 (0.983),,passenger_not_wearing_seatbelt (0.76),Violation detected
KA10A0362,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA10A0362_1764398071143.jpg,ARAT (0.601),Driver_not_wearing_seatbelt (0.70),,Violation detected
KA03MC8344,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03MC8344_1764390358309.jpg,,,,No violation detected - all occupants wearing seatbelts
